index,th_char,en_char
0,0,0
1,1,1
2,2,2
3,3,3
4,4,4
5,5,5
6,6,6
7,7,7
8,8,8
9,9,9
10,ก,a
11,ข,b
12,ค,c
13,ฆ,d
14,ง,e
15,จ,f
16,ฉ,g
17,ช,h
18,ฌ,i
19,ญ,j
20,ฎ,k
21,ฐ,l
22,ฒ,m
23,ณ,n
24,ด,o
25,ต,p
26,ถ,q
27,ท,r
28,ธ,s
29,น,t
30,บ,u
31,ป,v
32,ผ,w
33,พ,x
34,ฟ,y
35,ภ,z
36,ม,A
37,ย,B
38,ร,C
39,ล,D
40,ว,E
41,ศ,F
42,ษ,G
43,ส,H
44,ห,I
45,ฬ,J
46,อ,K
47,ฮ,L
48,ะ,M
49,า,N
50,เ,O
51,โ,P
52,ใ,Q
53,ำ,R
54,แ,S
